grid_row,grid_col,lat,lon,current_u,current_v,wind_speed_knots
0,0,-70.0,-40.0,-0.013,0.244,16.1
0,1,-70.0,-39.8649,0.736,-0.162,19.4
0,2,-70.0,-39.7297,0.452,-0.258,22.9
0,3,-70.0,-39.5946,0.278,-0.054,23.0
0,4,-70.0,-39.4595,-0.297,-0.509,11.6
0,5,-70.0,-39.3243,-0.297,0.157,24.0
0,6,-70.0,-39.1892,-0.424,-0.018,5.5
0,7,-70.0,-39.0541,0.626,-0.413,12.5
0,8,-70.0,-38.9189,0.281,-0.412,22.9
0,9,-70.0,-38.7838,0.42,-0.416,10.5
0,10,-70.0,-38.6486,-0.473,-0.543,10.5
0,11,-70.0,-38.5135,0.761,-0.012,11.1
0,12,-70.0,-38.3784,0.582,0.24,17.2
0,13,-70.0,-38.2432,-0.224,-0.583,13.8
0,14,-70.0,-38.1081,-0.264,-0.551,19.5
0,15,-70.0,-37.973,-0.262,-0.027,22.9
0,16,-70.0,-37.8378,-0.104,0.219,18.5
0,17,-70.0,-37.7027,0.182,-0.273,9.1
0,18,-70.0,-37.5676,0.062,-0.25,23.7
0,19,-70.0,-37.4324,-0.121,-0.004,10.3
0,20,-70.0,-37.2973,0.295,-0.326,8.0
0,21,-70.0,-37.1622,-0.319,-0.573,6.8
0,22,-70.0,-37.027,-0.12,0.135,16.3
0,23,-70.0,-36.8919,-0.024,0.026,7.3
0,24,-70.0,-36.7568,0.093,-0.019,7.8
0,25,-70.0,-36.6216,0.521,0.142,11.0
0,26,-70.0,-36.4865,-0.24,0.075,10.6
0,27,-70.0,-36.3514,0.169,-0.394,17.1
0,28,-70.0,-36.2162,0.27,-0.248,21.3
0,29,-70.0,-36.0811,-0.44,-0.474,20.2
0,30,-70.0,-35.9459,0.29,-0.47,10.2
0,31,-70.0,-35.8108,-0.278,0.076,9.9
0,32,-70.0,-35.6757,-0.415,0.259,24.3
0,33,-70.0,-35.5405,0.734,0.363,5.2
0,34,-70.0,-35.4054,0.755,0.028,22.6
